,Частота
локтями,2
ринулись,2
приобщиться,2
злобе,5
каторжник,2
тачке,2
цепью,3
прикованы,3
времени,7
чудеса,2
перестройки,3
да,6
бессловесные,2
рабы,2
мгновение,2
ока,2
превратились,2
крикливых,2
хамов,2
аж,2
накалилась,2
злобы,2
крапива,1
нет-нет,1
прожжет,1
насквозь,1
младенчески,1
невинна,1
алчной,1
сатанинской,1
бессмертной,1
злобой,1
людской,1
сиротливо,2
чернеют,2
ребра,1
купола,6
колокольне,1
покосившийся,1
крест,2
внизу,1
тем,19
своим,10
чередом,1
мальчишки,1
играют,5
войну,2
пастух,1
матюгаясь,1
щелкает,1
кнутом,1
бабы,1
мешками,1
спешат,1
сельмаг,1
скособоченной,1
другую,1
сторону,3
доске,1
объявлений,1
афиша,1
кино,2
интердевочка,1
старушки,3
одна,5
клещ,1
впивается,1
тело,2
кровь,1
другая,1
весела,2
легка,3
солнечный,7
лучик,4
страшнейшая,3
осад,3
осада,2
нищеты,3
гнилые,1
нити,1
рвутся,1
шрапнель,1
кажется,10
само,3
прогнило,1
порвется,1
заботами,4
заслонили,3
молитва,5
сил,1
противиться,1
злу,1
защитить,1
малых,1
милую,1
жену,1
маленькое,4
перышко,2
спускается,1
капли,4
дождя,3
света,3
потемневших,1
ветвях,1
яблони,1
пору,2
затяжных,1
дождей,1
много,21
человеку,2
краюха,1
хлеба,3
кружка,1
молока,1
светлый,1
безмятежные,3
читаю,1
дельвига,1
чистые,1
поцелуй,1
ребенка,3
цивилизация,2
возведенная,1
липкой,1
предсмертных,1
хрипах,1
животных,1
бойне,2
сама,3
скатывается,1
двое,2
ружьями,1
собакой,2
начали,1
медленно,5
приближаться,1
каково,1
диким,1
уткам,1
крупные,4
живые,3
таинственный,2
чертеж,2
начинает,6
язык,5
увы,2
племя,1
человеческое,1
забыло,1
наполнен,3
золотым,1
отсветом,1
осенней,2
листвы,3
невдалеке,1
храма,1
осень,2
березы,8
тоненькие,1
свечи,1
загорелись,1
полем,1
больнее,3
врезаются,2
душу,4
страна,3
бесконечных,1
очередей,1
змеи,2
лаокоона,1
обвили,1
давят,1
горло,1
ржавая,3
кольчуга,3
дон,4
кихота,2
прямо,3
держаться,1
дает,2
усталости,1
упасть,2
ваших,6
подлостей,3
отлучены,2
наших,5
ценить,2
каждый,7
миг,6
быть,18
детишками,2
копать,3
устав,2
поднять,2
замереть,2
вероятно,4
предназначение,3
рублевская,5
синь,8
просвет,3
темных,4
тучах,3
налетел,2
вихрь,1
осыпал,1
метелью,1
листопада,1
говорят,4
тютчев,1
спасся,1
